day,month,year,humidity,wspd,pressure,dew_point,city,tmin,tmax,tavg
1,1,2018,56,13.2,1014.3,2.9,Islamabad,6.8,16.2,11.4
2,1,2018,58,10.1,1015.1,4.6,Islamabad,9.3,16.2,12.7
3,1,2018,62,9.4,1015.7,4.6,Islamabad,7.6,15.5,11.8
4,1,2018,72,10.8,1015.8,5.3,Islamabad,6.8,14.1,10.2
5,1,2018,77,8.0,1016.9,6.2,Islamabad,7.2,14.1,10.2
6,1,2018,66,13.8,1015.3,3.0,Islamabad,5.7,14.3,9.2
7,1,2018,62,13.4,1015.5,2.6,Islamabad,5.9,14.2,9.8
8,1,2018,54,12.5,1016.8,2.1,Islamabad,5.3,15.0,11.2
9,1,2018,58,13.2,1019.5,2.3,Islamabad,5.0,15.7,10.5
10,1,2018,55,15.6,1019.4,2.5,Islamabad,6.3,16.6,11.3
11,1,2018,60,11.6,1017.1,4.4,Islamabad,8.0,16.4,12.0
12,1,2018,54,13.6,1015.7,2.9,Islamabad,6.7,16.4,12.3
13,1,2018,49,9.7,1016.4,2.7,Islamabad,11.0,16.5,13.7
14,1,2018,53,11.2,1016.6,3.5,Islamabad,8.8,17.1,13.0
15,1,2018,50,14.5,1017.3,1.9,Islamabad,7.5,16.7,12.2
16,1,2018,41,13.7,1013.3,-0.8,Islamabad,7.7,17.0,12.8
17,1,2018,49,18.6,1014.4,2.5,Islamabad,10.2,17.1,13.3
18,1,2018,62,16.3,1018.2,4.2,Islamabad,7.4,16.6,11.5
19,1,2018,61,11.7,1017.2,4.3,Islamabad,7.1,17.5,11.8
20,1,2018,52,17.4,1015.2,3.0,Islamabad,7.8,18.2,12.9
21,1,2018,47,11.0,1013.4,3.2,Islamabad,9.8,19.3,14.7
22,1,2018,49,14.4,1012.9,3.0,Islamabad,8.5,17.8,14.1
23,1,2018,60,12.2,1012.2,3.9,Islamabad,8.0,15.2,11.7
24,1,2018,67,9.7,1015.1,5.0,Islamabad,6.4,15.4,11.0
25,1,2018,67,13.0,1013.3,4.9,Islamabad,5.7,15.2,10.8
26,1,2018,61,8.4,1014.3,5.2,Islamabad,9.1,16.0,12.8
27,1,2018,56,7.6,1014.2,4.2,Islamabad,9.9,16.7,13.1
28,1,2018,58,8.0,1015.3,4.8,Islamabad,9.4,16.7,13.0
29,1,2018,63,10.2,1017.1,6.0,Islamabad,10.4,16.2,13.0
30,1,2018,69,13.6,1018.6,7.1,Islamabad,10.3,17.5,12.8
31,1,2018,65,9.3,1015.7,5.8,Islamabad,8.7,17.7,12.8
1,2,2018,66,17.1,1017.3,6.2,Islamabad,7.7,17.4,12.6
2,2,2018,60,11.0,1013.7,4.8,Islamabad,7.5,18.4,12.9
3,2,2018,46,13.4,1016.5,2.2,Islamabad,8.5,18.5,14.0
4,2,2018,47,17.1,1017.2,0.7,Islamabad,7.5,17.1,11.8
5,2,2018,38,11.5,1017.8,-0.9,Islamabad,8.0,19.1,14.0
6,2,2018,36,14.1,1019.7,-1.3,Islamabad,11.3,17.9,14.4
7,2,2018,47,11.7,1014.9,1.1,Islamabad,8.6,17.8,12.9
8,2,2018,39,9.5,1014.5,-0.3,Islamabad,10.6,17.8,13.9
9,2,2018,44,12.3,1014.3,0.7,Islamabad,7.2,18.0,13.2
10,2,2018,44,18.4,1017.8,1.0,Islamabad,10.0,17.4,13.3
11,2,2018,63,16.9,1018.1,4.9,Islamabad,7.5,16.2,11.7
12,2,2018,90,32.4,1016.8,8.2,Islamabad,8.4,10.9,9.7
13,2,2018,82,23.4,1026.2,7.4,Islamabad,8.3,14.1,10.5
14,2,2018,77,17.3,1024.9,6.7,Islamabad,6.7,15.0,10.7
15,2,2018,70,14.1,1021.2,7.4,Islamabad,8.5,18.7,13.0
16,2,2018,69,12.5,1019.2,8.8,Islamabad,10.1,20.0,14.5
17,2,2018,63,18.6,1014.3,7.4,Islamabad,10.4,19.8,14.6
